"filename", "language", "YAML", "Python", "toml", "pip requirements", "Log", "JSON", "JavaScript", "HTML", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Programming\EliteMangaNew\backend\migrations\0024_list_tags.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"e:\Programming\EliteMangaNew\backend\migrations\0025_auto_20200610_1242.py", "Python", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 41
"e:\Programming\EliteMangaNew\backend\migrations\0026_auto_20200610_1356.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"e:\Programming\EliteMangaNew\backend\migrations\0027_auto_20200610_1416.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"e:\Programming\EliteMangaNew\backend\migrations\0028_auto_20200615_1135.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0029_auto_20200617_0910.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0030_auto_20200619_2311.py", "Python", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"e:\Programming\EliteMangaNew\backend\migrations\0031_auto_20200629_1010.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"e:\Programming\EliteMangaNew\backend\migrations\0032_auto_20200629_1442.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 44
"e:\Programming\EliteMangaNew\backend\migrations\0033_auto_20200629_1504.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"e:\Programming\EliteMangaNew\backend\migrations\0034_remove_source_type.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 18
"e:\Programming\EliteMangaNew\backend\migrations\0035_auto_20200630_1549.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 23
"e:\Programming\EliteMangaNew\backend\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\backend\models.py", "Python", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39, 223
"e:\Programming\EliteMangaNew\backend\receivedata\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\backend\receivedata\viewsets.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\EliteMangaNew\backend\serializers.py", "Python", 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 56, 327
